"Adolescent birth rate (births per 1,000 women ages 15-19)"
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168"," Afghanistan","161.2","","163.9","","165.2","","146.4","","101.8","","96.5","","91.2","","85.9","","80.6","","75.3","","64.5","","64.5","a"
"68"," Albania","16.3","","18.7","","19.3","","18.8","","19.6","","19.8","","20.0","","20.3","","20.5","","20.7","","20.7","","20.7","a"
"85"," Algeria","33.1","","24.3","","14.9","","9.7","","10.6","","10.7","","10.7","","10.8","","10.8","","10.8","","10.1","","10.1","a"
"147"," Angola","220.5","","213.0","","202.5","","192.8","","173.6","","170.7","","167.7","","164.7","","161.8","","158.8","","151.6","","151.6","a"
"70"," Antigua and Barbuda","83.3","","71.9","","68.7","","62.8","","52.4","","51.2","","50.0","","48.8","","47.6","","46.4","","43.5","","43.5","a"
"47"," Argentina","73.4","","73.2","","69.8","","65.0","","63.9","","63.8","","63.7","","63.6","","63.5","","63.4","","62.8","","62.8","a"
"83"," Armenia","65.6","","80.1","","49.9","","32.4","","27.5","","27.0","","26.6","","26.1","","25.7","","25.2","","23.2","","23.2","a"
"3"," Australia","21.1","","20.9","","19.5","","16.9","","16.0","","15.5","","15.1","","14.7","","14.3","","13.9","","12.9","","12.9","a"
"20"," Austria","21.4","","20.4","","14.8","","13.3","","9.8","","9.4","","8.9","","8.5","","8.1","","7.7","","6.9","","6.9","a"
"80"," Azerbaijan","25.7","","37.5","","42.3","","32.6","","43.7","","45.2","","46.7","","48.2","","49.7","","51.2","","53.5","","53.5","a"
"54"," Bahamas","69.8","","69.6","","61.9","","44.0","","36.1","","34.8","","33.6","","32.3","","31.0","","29.8","","26.7","","26.7","a"
"43"," Bahrain","32.5","","22.3","","18.8","","16.8","","14.4","","14.2","","14.1","","14.0","","13.8","","13.7","","13.4","","13.4","a"
"136"," Bangladesh","169.7","","143.5","","121.6","","106.5","","91.1","","90.0","","89.0","","87.9","","86.8","","85.8","","83.5","","83.5","a"
"58"," Barbados","49.9","","57.9","","52.0","","49.1","","47.4","","46.3","","45.3","","44.2","","43.1","","42.1","","37.3","","37.3","a"
"53"," Belarus","37.8","","44.2","","33.0","","24.3","","21.7","","21.2","","20.7","","20.2","","19.7","","19.2","","17.2","","17.2","a"
"17"," Belgium","11.4","","10.8","","10.2","","10.9","","8.0","","7.5","","7.0","","6.5","","6.0","","5.5","","4.9","","4.9","a"
"106"," Belize","131.6","","121.7","","106.3","","91.2","","73.0","","71.7","","70.4","","69.1","","67.9","","66.6","","63.5","","63.5","a"
"163"," Benin","123.1","","126.8","","122.8","","115.7","","102.5","","100.3","","98.0","","95.7","","93.5","","91.2","","86.1","","86.1","a"
"134"," Bhutan","111.3","","102.4","","92.0","","70.1","","39.1","","36.2","","33.3","","30.5","","27.6","","24.7","","20.3","","20.3","a"
"118"," Bolivia (Plurinational State of)","96.1","","91.2","","93.0","","87.9","","77.2","","75.9","","74.5","","73.1","","71.7","","70.4","","68.1","","68.1","a"
"77"," Bosnia and Herzegovina","36.9","","25.6","","25.2","","18.9","","14.1","","13.5","","12.9","","12.3","","11.7","","11.0","","10.0","","10.0","a"
"101"," Botswana","122.0","","83.9","","71.8","","59.8","","44.0","","42.0","","40.1","","38.2","","36.3","","34.3","","30.0","","30.0","a"
"79"," Brazil","82.2","","83.7","","84.3","","76.6","","68.2","","67.4","","66.6","","65.9","","65.1","","64.3","","61.6","","61.6","a"
"39"," Brunei Darussalam","41.4","","38.3","","28.9","","23.8","","15.4","","14.7","","14.0","","13.3","","12.6","","11.9","","10.3","","10.3","a"
"51"," Bulgaria","75.8","","66.7","","48.2","","40.9","","43.8","","43.3","","42.9","","42.4","","41.9","","41.5","","39.5","","39.5","a"
"183"," Burkina Faso","150.2","","144.8","","142.6","","137.1","","122.5","","120.0","","117.5","","114.9","","112.4","","109.9","","104.3","","104.3","a"
"185"," Burundi","49.8","","48.8","","47.2","","36.3","","31.6","","31.0","","30.3","","29.7","","29.0","","28.3","","26.8","","26.8","a"
"125"," Cabo Verde","109.0","","109.0","","105.8","","99.3","","86.4","","84.4","","82.3","","80.3","","78.3","","76.2","","73.8","","73.8","a"
"146"," Cambodia","88.1","","66.8","","51.5","","48.2","","47.9","","48.2","","48.5","","48.9","","49.2","","49.5","","50.2","","50.2","a"
"151"," Cameroon","191.5","","177.7","","162.0","","150.0","","126.4","","123.8","","121.2","","118.6","","116.0","","113.4","","105.8","","105.8","a"
"12"," Canada","23.2","","25.1","","20.1","","14.4","","12.6","","12.2","","11.7","","11.3","","10.8","","10.4","","9.4","","9.4","a"
"188"," Central African Republic","156.3","","144.7","","134.6","","126.0","","115.2","","113.9","","112.6","","111.3","","110.0","","108.8","","103.8","","103.8","a"
"186"," Chad","218.1","","218.1","","216.4","","209.7","","187.2","","183.7","","180.2","","176.7","","173.2","","169.7","","161.1","","161.1","a"
"44"," Chile","66.6","","65.0","","62.1","","57.7","","52.5","","51.6","","50.7","","49.8","","48.9","","48.0","","45.6","","45.6","a"
"86"," China","23.5","","16.3","","9.9","","8.4","","7.0","","6.9","","6.9","","6.8","","6.7","","6.6","","6.4","","6.4","a"
"90"," Colombia","75.7","","82.7","","83.3","","86.3","","60.7","","59.0","","57.4","","55.8","","54.2","","52.6","","47.5","","47.5","a"
"165"," Comoros","118.8","","108.2","","98.9","","92.2","","77.0","","75.6","","74.1","","72.7","","71.3","","69.9","","65.4","","65.4","a"
"137"," Congo","133.8","","130.5","","133.1","","136.4","","125.5","","123.9","","122.3","","120.7","","119.1","","117.5","","111.8","","111.8","a"
"176"," Congo (Democratic Republic of the)","132.8","","127.1","","124.1","","126.3","","130.1","","129.4","","128.7","","128.1","","127.4","","126.8","","124.2","","124.2","a"
"63"," Costa Rica","95.3","","91.8","","83.2","","69.8","","61.8","","60.7","","59.6","","58.5","","57.4","","56.3","","53.5","","53.5","a"
"46"," Croatia","34.9","","20.7","","19.1","","15.2","","12.9","","12.3","","11.7","","11.2","","10.6","","10.0","","8.9","","8.9","a"
"73"," Cuba","85.7","","69.2","","69.4","","49.1","","49.0","","48.7","","48.3","","47.9","","47.5","","47.1","","43.6","","43.6","a"
"32"," Cyprus","34.6","","24.3","","13.1","","7.2","","5.8","","5.6","","5.4","","5.2","","5.1","","4.9","","4.6","","4.6","a"
"27"," Czechia","50.5","","41.1","","16.6","","11.4","","11.1","","11.0","","10.9","","10.7","","10.6","","10.5","","10.0","","10.0","a"
"170"," Côte d'Ivoire","168.0","","148.1","","138.3","","137.4","","137.3","","136.7","","136.1","","135.6","","135.0","","134.4","","132.7","","132.7","a"
"11"," Denmark","9.2","","8.9","","8.0","","6.6","","5.2","","5.0","","4.8","","4.6","","4.5","","4.3","","4.1","","4.1","a"
"172"," Djibouti","50.0","","45.5","","36.4","","30.9","","23.5","","22.9","","22.2","","21.6","","20.9","","20.3","","18.8","","18.8","a"
"94"," Dominican Republic","110.2","","114.3","","111.0","","109.6","","104.7","","103.3","","101.9","","100.5","","99.2","","97.8","","95.0","","95.0","a"
"86"," Ecuador","88.7","","85.5","","84.3","","82.5","","80.2","","79.3","","78.3","","77.4","","76.5","","75.6","","73.9","","73.9","a"
"115"," Egypt","86.1","","79.9","","57.2","","52.5","","51.7","","51.8","","51.9","","52.1","","52.2","","52.3","","50.0","","50.0","a"
"121"," El Salvador","108.2","","101.2","","95.2","","88.7","","78.0","","76.7","","75.4","","74.1","","72.8","","71.5","","69.5","","69.5","a"
"141"," Equatorial Guinea","187.6","","196.3","","189.4","","178.8","","170.7","","168.8","","166.9","","165.0","","163.1","","161.2","","155.6","","155.6","a"
"179"," Eritrea","113.4","","108.2","","97.9","","82.4","","68.5","","66.1","","63.7","","61.2","","58.8","","56.3","","51.6","","51.6","a"
"30"," Estonia","44.5","","47.1","","30.4","","23.5","","19.3","","18.4","","17.4","","16.4","","15.4","","14.4","","12.6","","12.6","a"
"144"," Eswatini (Kingdom of)","138.7","","122.6","","108.4","","102.2","","86.4","","85.3","","84.2","","83.1","","82.0","","80.9","","77.0","","77.0","a"
"173"," Ethiopia","119.3","","117.7","","117.5","","105.2","","79.0","","76.9","","74.8","","72.7","","70.6","","68.5","","62.5","","62.5","a"
"92"," Fiji","63.3","","62.9","","45.5","","41.2","","44.1","","43.9","","43.8","","43.7","","43.6","","43.4","","43.9","","43.9","a"
"15"," Finland","12.7","","11.4","","9.5","","10.6","","8.3","","8.1","","7.8","","7.6","","7.3","","7.1","","6.8","","6.8","a"
"24"," France","13.7","","11.0","","9.8","","10.8","","9.7","","9.6","","9.5","","9.3","","9.2","","9.0","","8.6","","8.6","a"
"110"," Gabon","199.1","","181.4","","161.3","","138.5","","117.5","","114.6","","111.8","","108.9","","106.1","","103.3","","95.3","","95.3","a"
"174"," Gambia","179.2","","153.2","","133.9","","119.6","","99.2","","96.6","","94.0","","91.3","","88.7","","86.1","","79.2","","79.2","a"
"70"," Georgia","53.8","","68.9","","60.5","","48.4","","51.2","","50.7","","50.2","","49.7","","49.3","","48.8","","45.9","","45.9","a"
"5"," Germany","17.0","","15.9","","13.1","","12.4","","8.9","","8.6","","8.3","","7.9","","7.6","","7.3","","6.5","","6.5","a"
"140"," Ghana","118.0","","103.8","","90.7","","79.5","","72.8","","72.0","","71.3","","70.6","","69.9","","69.2","","66.6","","66.6","a"
"31"," Greece","30.1","","17.9","","12.1","","10.9","","10.1","","9.7","","9.2","","8.8","","8.3","","7.9","","7.2","","7.2","a"
"75"," Grenada","99.2","","83.5","","61.5","","51.2","","38.9","","37.6","","36.2","","34.9","","33.6","","32.3","","29.2","","29.2","a"
"127"," Guatemala","130.3","","128.3","","118.8","","106.6","","83.9","","82.0","","80.2","","78.4","","76.6","","74.8","","70.9","","70.9","a"
"175"," Guinea","181.3","","180.3","","174.4","","165.3","","150.6","","148.6","","146.6","","144.6","","142.6","","140.6","","135.3","","135.3","a"
"177"," Guinea-Bissau","132.1","","138.3","","134.4","","127.3","","109.9","","106.2","","102.4","","98.7","","95.0","","91.3","","84.5","","84.5","a"
"125"," Guyana","78.5","","88.8","","92.7","","100.2","","91.3","","90.7","","90.0","","89.3","","88.6","","88.0","","85.8","","85.8","a"
"168"," Haiti","78.3","","69.9","","61.8","","52.5","","43.9","","43.0","","42.1","","41.2","","40.3","","39.4","","37.5","","37.5","a"
"133"," Honduras","133.5","","127.5","","117.6","","108.0","","85.1","","82.9","","80.8","","78.6","","76.4","","74.3","","70.8","","70.8","a"
"7"," Hong Kong, China (SAR)","7.1","","6.5","","5.3","","3.7","","3.0","","3.0","","3.0","","2.9","","2.9","","2.9","","2.7","","2.7","a"
"45"," Hungary","45.8","","36.5","","25.6","","21.0","","19.9","","19.9","","20.0","","20.0","","20.0","","20.0","","19.7","","19.7","a"
"6"," Iceland","30.9","","25.5","","23.5","","17.3","","11.8","","11.1","","10.3","","9.6","","8.8","","8.1","","6.8","","6.8","a"
"130"," India","106.0","","94.0","","76.9","","60.2","","37.5","","35.3","","33.2","","31.0","","28.9","","26.7","","23.1","","23.1","a"
"116"," Indonesia","72.9","","63.1","","47.8","","52.0","","51.0","","50.6","","50.2","","49.8","","49.3","","48.9","","47.4","","47.4","a"
"60"," Iran (Islamic Republic of)","111.4","","75.4","","48.6","","33.5","","29.8","","29.2","","28.6","","28.0","","27.4","","26.8","","25.0","","25.0","a"
"120"," Iraq","75.1","","67.5","","64.8","","66.0","","78.5","","78.6","","78.8","","79.0","","79.1","","79.3","","80.1","","80.1","a"
"4"," Ireland","15.0","","16.0","","19.0","","19.0","","14.1","","13.5","","12.8","","12.2","","11.5","","10.8","","9.7","","9.7","a"
"22"," Israel","21.9","","19.3","","17.7","","16.1","","12.8","","12.3","","11.8","","11.3","","10.9","","10.4","","9.2","","9.2","a"
"28"," Italy","10.0","","7.7","","6.4","","7.0","","6.6","","6.6","","6.5","","6.4","","6.3","","6.2","","6.1","","6.1","a"
"97"," Jamaica","106.3","","97.7","","93.8","","84.0","","67.4","","65.3","","63.1","","61.0","","58.9","","56.8","","52.8","","52.8","a"
"19"," Japan","4.0","","3.7","","4.4","","5.7","","4.8","","4.7","","4.6","","4.5","","4.4","","4.3","","4.1","","4.1","a"
"95"," Jordan","56.8","","48.1","","40.2","","33.1","","27.8","","27.1","","26.5","","25.8","","25.2","","24.6","","22.4","","22.4","a"
"58"," Kazakhstan","46.2","","53.7","","42.1","","29.1","","30.1","","30.0","","30.0","","29.9","","29.8","","29.8","","27.5","","27.5","a"
"142"," Kenya","147.8","","115.3","","111.5","","104.2","","92.0","","90.4","","88.7","","87.1","","85.4","","83.7","","80.5","","80.5","a"
"134"," Kiribati","49.3","","45.9","","41.6","","33.5","","24.2","","23.1","","22.0","","20.9","","19.8","","18.7","","16.2","","16.2","a"
"n.a"," Korea (Democratic People's Rep. of)","3.2","","1.8","","1.2","","1.0","","0.5","","0.4","","0.4","","0.4","","0.3","","0.3","","0.3","","0.3","a"
"22"," Korea (Republic of)","6.4","","4.1","","2.9","","2.2","","1.9","","1.8","","1.8","","1.8","","1.7","","1.7","","1.6","","1.6","a"
"56"," Kuwait","37.3","","22.7","","26.3","","19.7","","12.2","","11.7","","11.3","","10.9","","10.4","","10.0","","9.0","","9.0","a"
"122"," Kyrgyzstan","50.4","","68.8","","62.5","","34.4","","35.7","","36.5","","37.3","","38.2","","39.0","","39.9","","38.1","","38.1","a"
"139"," Lao People's Democratic Republic","110.2","","104.9","","87.3","","75.0","","68.3","","67.5","","66.7","","65.9","","65.1","","64.3","","62.6","","62.6","a"
"41"," Latvia","45.5","","43.5","","21.9","","17.3","","16.7","","16.3","","15.8","","15.3","","14.8","","14.4","","13.5","","13.5","a"
"80"," Lebanon","51.0","","39.0","","28.3","","19.3","","13.0","","13.0","","12.9","","12.8","","12.8","","12.7","","11.8","","11.8","a"
"159"," Lesotho","77.7","","86.3","","94.0","","89.6","","92.1","","91.6","","91.2","","90.8","","90.4","","90.0","","89.5","","89.5","a"
"181"," Liberia","182.1","","161.4","","152.1","","147.4","","138.0","","136.5","","135.1","","133.6","","132.2","","130.7","","127.5","","127.5","a"
"108"," Libya","17.1","","11.8","","8.3","","6.3","","6.0","","6.0","","6.0","","5.9","","5.9","","5.8","","5.7","","5.7","a"
"35"," Lithuania","30.2","","44.9","","31.8","","21.1","","16.6","","15.8","","14.9","","14.1","","13.3","","12.5","","10.7","","10.7","a"
"21"," Luxembourg","11.4","","12.5","","10.2","","11.7","","8.0","","7.6","","7.1","","6.7","","6.2","","5.8","","5.2","","5.2","a"
"161"," Madagascar","149.5","","149.2","","155.1","","149.5","","127.2","","124.7","","122.2","","119.7","","117.3","","114.8","","109.6","","109.6","a"
"171"," Malawi","193.2","","161.8","","163.5","","155.7","","149.2","","147.8","","146.4","","145.0","","143.6","","142.2","","140.2","","140.2","a"
"57"," Malaysia","19.8","","19.1","","14.8","","13.0","","12.9","","13.0","","13.1","","13.1","","13.2","","13.3","","13.4","","13.4","a"
"101"," Maldives","171.3","","102.6","","48.2","","23.9","","11.8","","10.9","","10.1","","9.2","","8.4","","7.6","","5.8","","5.8","a"
"182"," Mali","194.4","","196.3","","190.9","","186.3","","182.2","","180.6","","178.9","","177.3","","175.7","","174.0","","169.1","","169.1","a"
"29"," Malta","12.4","","11.9","","18.7","","20.4","","17.9","","17.8","","17.6","","17.4","","17.2","","17.1","","16.6","","16.6","a"
"159"," Mauritania","110.4","","107.5","","102.0","","95.3","","87.5","","86.5","","85.5","","84.4","","83.4","","82.4","","79.2","","79.2","a"
"65"," Mauritius","44.7","","42.6","","36.3","","36.5","","31.6","","30.8","","30.0","","29.1","","28.3","","27.5","","26.6","","26.6","a"
"74"," Mexico","88.5","","79.3","","83.0","","76.1","","68.1","","67.1","","66.1","","65.1","","64.1","","63.1","","60.3","","60.3","a"
"131"," Micronesia (Federated States of)","53.5","","48.4","","44.8","","34.3","","22.0","","20.8","","19.7","","18.5","","17.4","","16.2","","13.9","","13.9","a"
"112"," Moldova (Republic of)","48.6","","63.2","","58.1","","31.0","","26.4","","25.9","","25.4","","24.8","","24.3","","23.8","","22.0","","22.0","a"
"92"," Mongolia","33.9","","38.4","","31.4","","21.5","","22.8","","23.3","","23.7","","24.2","","24.7","","25.1","","23.6","","23.6","a"
"50"," Montenegro","32.1","","26.3","","21.8","","16.5","","16.0","","15.3","","14.6","","13.9","","13.3","","12.6","","11.8","","11.8","a"
"123"," Morocco","45.6","","37.1","","33.9","","36.1","","33.7","","33.5","","33.2","","33.0","","32.8","","32.6","","31.1","","31.1","a"
"180"," Mozambique","178.1","","188.3","","189.0","","187.4","","163.7","","159.8","","156.0","","152.2","","148.3","","144.5","","135.2","","135.2","a"
"148"," Myanmar","50.3","","42.4","","39.1","","38.0","","32.1","","31.6","","31.1","","30.6","","30.1","","29.6","","28.7","","28.7","a"
"129"," Namibia","116.8","","103.4","","90.4","","81.7","","79.8","","79.2","","78.6","","78.0","","77.4","","76.8","","73.8","","73.8","a"
"149"," Nepal","131.3","","131.9","","124.5","","106.8","","78.4","","75.7","","72.9","","70.1","","67.3","","64.5","","60.5","","60.5","a"
"10"," Netherlands","6.9","","7.1","","6.2","","7.1","","4.9","","4.7","","4.6","","4.5","","4.4","","4.2","","4.0","","4.0","a"
"16"," New Zealand","31.9","","33.4","","29.9","","26.7","","26.5","","25.5","","24.5","","23.5","","22.5","","21.5","","20.0","","20.0","a"
"124"," Nicaragua","160.1","","146.2","","125.2","","113.2","","98.7","","96.8","","94.9","","93.0","","91.0","","89.1","","85.4","","85.4","a"
"189"," Niger","225.1","","222.8","","219.6","","215.5","","205.9","","204.1","","202.3","","200.6","","198.8","","197.0","","192.0","","192.0","a"
"157"," Nigeria","154.9","","143.4","","136.6","","130.3","","120.1","","118.5","","116.9","","115.4","","113.8","","112.2","","107.3","","107.3","a"
"1"," Norway","17.8","","15.7","","12.8","","10.0","","7.5","","7.1","","6.8","","6.5","","6.1","","5.8","","5.6","","5.6","a"
"48"," Oman","93.9","","72.9","","43.5","","21.1","","12.2","","11.5","","10.9","","10.2","","9.6","","8.9","","7.1","","7.1","a"
"150"," Pakistan","95.2","","76.1","","59.8","","45.9","","41.2","","40.7","","40.3","","39.8","","39.3","","38.9","","36.9","","36.9","a"
"119"," Palestine, State of","100.0","","110.1","","97.0","","70.5","","63.3","","62.4","","61.4","","60.4","","59.5","","58.5","","56.2","","56.2","a"
"66"," Panama","102.6","","98.0","","94.0","","89.7","","87.4","","86.8","","86.2","","85.6","","85.0","","84.3","","81.8","","81.8","a"
"153"," Papua New Guinea","83.6","","75.8","","71.6","","65.0","","58.8","","58.0","","57.1","","56.3","","55.5","","54.6","","52.7","","52.7","a"
"110"," Paraguay","91.6","","92.4","","91.9","","76.6","","64.0","","62.8","","61.6","","60.4","","59.2","","58.0","","55.7","","55.7","a"
"89"," Peru","72.0","","70.0","","70.5","","61.5","","53.4","","52.7","","52.0","","51.2","","50.5","","49.8","","47.5","","47.5","a"
"113"," Philippines","50.1","","51.0","","49.1","","53.9","","55.9","","56.5","","57.1","","57.7","","58.3","","58.9","","60.5","","60.5","a"
"33"," Poland","32.5","","29.4","","19.0","","15.5","","15.1","","14.8","","14.5","","14.2","","13.8","","13.5","","12.7","","12.7","a"
"41"," Portugal","28.0","","21.8","","20.4","","20.2","","14.1","","13.4","","12.7","","12.0","","11.4","","10.7","","9.4","","9.4","a"
"37"," Qatar","57.7","","44.0","","22.8","","19.0","","13.3","","12.7","","12.2","","11.7","","11.1","","10.6","","9.9","","9.9","a"
"52"," Romania","59.5","","48.2","","40.8","","37.2","","37.7","","37.1","","36.5","","35.9","","35.3","","34.7","","33.1","","33.1","a"
"49"," Russian Federation","49.2","","51.8","","35.1","","27.6","","27.9","","27.1","","26.3","","25.5","","24.8","","24.0","","21.6","","21.6","a"
"158"," Rwanda","70.2","","58.7","","52.6","","46.6","","35.7","","34.2","","32.8","","31.3","","29.8","","28.4","","25.7","","25.7","a"
"90"," Saint Lucia","120.8","","94.6","","69.8","","54.6","","46.2","","45.4","","44.6","","43.9","","43.1","","42.4","","40.5","","40.5","a"
"99"," Saint Vincent and the Grenadines","95.1","","88.0","","76.1","","64.6","","56.7","","55.7","","54.7","","53.7","","52.8","","51.8","","49.0","","49.0","a"
"104"," Samoa","39.4","","33.7","","45.1","","37.0","","30.0","","29.2","","28.4","","27.6","","26.8","","26.1","","23.9","","23.9","a"
"143"," Sao Tome and Principe","130.4","","124.3","","118.3","","112.5","","104.5","","103.3","","102.0","","100.8","","99.6","","98.4","","94.8","","94.8","a"
"39"," Saudi Arabia","84.7","","59.9","","36.4","","21.3","","11.4","","10.9","","10.5","","10.0","","9.5","","9.1","","7.8","","7.8","a"
"164"," Senegal","144.5","","124.6","","110.2","","100.8","","88.6","","86.5","","84.4","","82.3","","80.2","","78.1","","72.7","","72.7","a"
"67"," Serbia","46.2","","36.0","","29.4","","25.6","","21.6","","21.3","","21.0","","20.6","","20.3","","19.9","","18.9","","18.9","a"
"62"," Seychelles","67.6","","68.1","","57.9","","57.9","","60.6","","60.3","","60.0","","59.7","","59.4","","59.1","","56.9","","56.9","a"
"184"," Sierra Leone","192.2","","177.8","","166.1","","157.4","","136.3","","133.0","","129.7","","126.4","","123.0","","119.7","","112.8","","112.8","a"
"9"," Singapore","8.0","","7.9","","7.4","","7.5","","4.9","","4.7","","4.5","","4.3","","4.0","","3.8","","3.7","","3.7","a"
"38"," Slovakia","51.0","","45.4","","27.2","","20.7","","21.9","","22.0","","22.1","","22.2","","22.2","","22.3","","22.0","","22.0","a"
"25"," Slovenia","34.7","","19.5","","9.2","","5.9","","5.0","","4.9","","4.8","","4.7","","4.6","","4.5","","4.2","","4.2","a"
"152"," Solomon Islands","98.9","","84.8","","71.1","","70.1","","58.1","","56.5","","54.9","","53.3","","51.6","","50.0","","46.4","","46.4","a"
"n.a"," Somalia","76.7","","101.7","","126.6","","127.3","","118.8","","116.1","","113.4","","110.7","","108.0","","105.3","","100.1","","100.1","a"
"113"," South Africa","95.4","","90.7","","80.5","","69.4","","54.5","","53.0","","51.5","","49.9","","48.4","","46.9","","42.8","","42.8","a"
"187"," South Sudan","141.2","","136.1","","129.8","","119.9","","88.2","","84.6","","80.9","","77.3","","73.7","","70.1","","62.0","","62.0","a"
"26"," Spain","15.1","","9.7","","8.1","","10.3","","10.6","","10.2","","9.9","","9.5","","9.2","","8.8","","8.6","","8.6","a"
"76"," Sri Lanka","33.5","","29.3","","29.2","","27.9","","20.0","","19.2","","18.4","","17.6","","16.8","","15.9","","14.1","","14.1","a"
"167"," Sudan","101.5","","108.0","","110.9","","120.0","","95.2","","90.6","","85.9","","81.3","","76.6","","72.0","","64.0","","64.0","a"
"100"," Suriname","70.2","","66.0","","60.8","","56.3","","50.8","","50.2","","49.5","","48.9","","48.3","","47.7","","46.0","","46.0","a"
"7"," Sweden","11.8","","11.4","","7.2","","6.4","","5.7","","5.6","","5.6","","5.5","","5.4","","5.3","","5.2","","5.2","a"
"2"," Switzerland","6.3","","6.5","","5.7","","5.3","","4.0","","3.9","","3.7","","3.5","","3.4","","3.2","","3.0","","3.0","a"
"155"," Syrian Arab Republic","82.1","","67.9","","64.7","","55.6","","45.0","","44.2","","43.4","","42.6","","41.8","","40.9","","38.6","","38.6","a"
"127"," Tajikistan","57.4","","57.4","","50.2","","39.7","","40.8","","40.1","","39.5","","38.9","","38.3","","37.7","","36.4","","36.4","a"
"154"," Tanzania (United Republic of)","146.4","","139.5","","133.3","","132.0","","126.6","","125.0","","123.5","","122.0","","120.4","","118.9","","115.1","","115.1","a"
"83"," Thailand","53.2","","50.2","","45.7","","41.9","","47.0","","47.9","","48.9","","49.8","","50.8","","51.7","","51.9","","51.9","a"
"80"," The former Yugoslav Republic of Macedonia","48.7","","43.2","","34.8","","23.7","","19.4","","18.9","","18.5","","18.0","","17.6","","17.1","","16.2","","16.2","a"
"132"," Timor-Leste","54.5","","59.5","","71.9","","70.1","","59.0","","56.8","","54.6","","52.5","","50.3","","48.1","","44.0","","44.0","a"
"165"," Togo","127.0","","109.7","","97.0","","93.6","","92.2","","91.9","","91.5","","91.1","","90.8","","90.4","","89.1","","89.1","a"
"98"," Tonga","25.5","","24.5","","22.5","","21.3","","17.8","","17.4","","16.9","","16.5","","16.1","","15.6","","14.7","","14.7","a"
"69"," Trinidad and Tobago","72.1","","56.1","","44.3","","38.4","","36.4","","35.6","","34.8","","34.0","","33.2","","32.4","","30.1","","30.1","a"
"95"," Tunisia","23.7","","17.1","","9.7","","6.1","","7.0","","7.1","","7.3","","7.4","","7.5","","7.6","","7.7","","7.7","a"
"64"," Turkey","71.9","","60.3","","54.7","","45.3","","34.9","","33.6","","32.3","","31.1","","29.8","","28.5","","25.8","","25.8","a"
"108"," Turkmenistan","22.3","","26.4","","25.4","","24.4","","24.3","","24.5","","24.8","","25.0","","25.2","","25.4","","24.4","","24.4","a"
"162"," Uganda","185.5","","201.3","","191.0","","172.5","","138.3","","133.9","","129.6","","125.3","","120.9","","116.6","","106.5","","106.5","a"
"88"," Ukraine","63.1","","57.7","","43.5","","29.3","","29.2","","28.5","","27.9","","27.2","","26.6","","25.9","","23.8","","23.8","a"
"34"," United Arab Emirates","75.2","","42.3","","27.6","","25.6","","28.8","","28.6","","28.5","","28.3","","28.2","","28.0","","28.4","","28.4","a"
"14"," United Kingdom","31.7","","30.5","","30.3","","26.6","","21.6","","20.3","","19.0","","17.7","","16.4","","15.1","","12.5","","12.5","a"
"13"," United States","53.3","","59.6","","51.3","","43.2","","33.7","","31.6","","29.6","","27.5","","25.4","","23.4","","18.8","","18.8","a"
"55"," Uruguay","66.4","","70.6","","67.3","","63.5","","59.6","","59.0","","58.3","","57.7","","57.0","","56.4","","54.7","","54.7","a"
"105"," Uzbekistan","42.8","","60.8","","42.1","","18.3","","17.8","","17.7","","17.5","","17.3","","17.2","","17.0","","16.5","","16.5","a"
"138"," Vanuatu","77.7","","69.8","","62.0","","54.7","","46.2","","45.7","","45.1","","44.5","","43.9","","43.4","","41.9","","41.9","a"
"78"," Venezuela (Bolivarian Republic of)","100.2","","94.9","","94.1","","92.1","","88.9","","88.4","","87.9","","87.5","","87.0","","86.6","","85.3","","85.3","a"
"116"," Viet Nam","26.7","","33.8","","29.7","","27.9","","33.4","","33.1","","32.7","","32.4","","32.0","","31.7","","27.3","","27.3","a"
"178"," Yemen","152.5","","146.2","","111.3","","85.5","","72.1","","70.5","","68.9","","67.3","","65.6","","64.0","","60.4","","60.4","a"
"144"," Zambia","161.0","","151.2","","142.5","","140.9","","107.2","","103.9","","100.6","","97.3","","94.0","","90.7","","82.8","","82.8","a"
"156"," Zimbabwe","108.3","","111.0","","110.1","","106.7","","114.8","","113.6","","112.3","","111.0","","109.7","","108.4","","104.1","","104.1","a"
"a: Data are the annual average of projected values for 2015-2020."
""